module_code,module_name,name,period,sitting,year_start,year_stop,link
AN326-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2014,2015,
AN326-1,Neuroanatomy,Paper 1 - Written,Autumn,2,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN326_1_2_3.PDF
AN326-1,Neuroanatomy,Paper 1 - Written,Winter,1,2014,2015,
AN412-1,Anatomy Written Papers,Paper 1 - Written,Winter,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN412_1_1_5.PDF
AN412-1,Anatomy Written Papers,Paper 1 - Written,Autumn,2,2007,2008,
AN412-2,Anatomy Written Papers,Paper 2 - Written,Winter,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN412_2_1_5.PDF
AN412-2,Anatomy Written Papers,Paper 2 - Written,Autumn,2,2007,2008,
AN412-3,Anatomy Written Papers,Paper 3 - Written,Autumn,2,2007,2008,
AN412-3,Anatomy Written Papers,Paper 3 - Written,Summer,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN412_3_1_2.PDF
AN412-4,Anatomy Written Papers,Paper 4 - Written,Summer,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN412_4_1_2.PDF
AN412-4,Anatomy Written Papers,Paper 4 - Written,Autumn,2,2007,2008,
AN412-5,Anatomy Written Papers,Paper 5 - Written,Summer,1,2007,2008,
AN412-5,Anatomy Written Papers,Paper 5 - Written,Autumn,2,2007,2008,
AN424-1,Anatomy Written Papers,Paper 1 - Written,Winter,1,2007,2008,
AN424-1,Anatomy Written Papers,Paper 1 - Written,Autumn,2,2007,2008,
AN424-2,Anatomy Written Papers,Paper 2 - Written,Winter,1,2007,2008,
AN424-2,Anatomy Written Papers,Paper 2 - Written,Autumn,2,2007,2008,
AN424-4,Anatomy Written Papers,Paper 4 - Written,Summer,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN424_4_1_2.PDF
AN424-4,Anatomy Written Papers,Paper 4 - Written,Autumn,2,2007,2008,
AN424-5,Anatomy Written Papers,Paper 5 - Written,Summer,1,2007,2008,
AN424-5,Anatomy Written Papers,Paper 5 - Written,Autumn,2,2007,2008,
AN425-1,Molecular and Cellular Anatomy I,Paper 1 - Written,Winter,1,2008,2009,https://www.mis.nuigalway.ie/papers_public/2008_2009/AN/2008_2009_AN425_1_1_5.PDF
AN425-1,Molecular and Cellular Anatomy I,Paper 1 - Written,Winter,1,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AN/2012_2013_AN425_1_1_5.PDF
AN425-1,Molecular and Cellular Anatomy I,Paper 1 - Written,Winter,1,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AN/2010_2011_AN425_1_1_5.PDF
AN425-1,Molecular and Cellular Anatomy I,Paper 1 - Written,Winter,1,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN425_1_1_5.PDF
AN425-1,Molecular and Cellular Anatomy I,Paper 1 - Written,Winter,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN425_1_1_5.PDF
AN426-1,Neuroanatomy and Imaging,Paper 1 - Written,Winter,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN426_1_1_5.PDF
AN426-1,Neuroanatomy and Imaging,Paper 1 - Written,Winter,1,2008,2009,https://www.mis.nuigalway.ie/papers_public/2008_2009/AN/2008_2009_AN426_1_1_5.PDF
AN427-1,Molecular and Cellular Anatomy II,Paper 1 - Written,Summer,1,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AN/2012_2013_AN427_1_1_2.PDF
AN427-1,Molecular and Cellular Anatomy II,Paper 1 - Written,Summer,1,2010,2011,
AN427-1,Molecular and Cellular Anatomy II,Paper 1 - Written,Summer,1,2008,2009,https://www.mis.nuigalway.ie/papers_public/2008_2009/AN/2008_2009_AN427_1_1_2.PDF
AN427-1,Molecular and Cellular Anatomy II,Paper 1 - Written,Summer,1,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN427_1_1_2.PDF
AN427-1,Molecular and Cellular Anatomy II,Paper 1 - Written,Summer,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN427_1_1_2.PDF
AN428-1,Advanced Anatomy,Paper 1 - Written,Summer,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN428_1_1_2.PDF
AN428-1,Advanced Anatomy,Paper 1 - Written,Summer,1,2008,2009,https://www.mis.nuigalway.ie/papers_public/2008_2009/AN/2008_2009_AN428_1_1_2.PDF
AN435-1,Advanced Anatomy I,Paper 1 - Written,Winter,1,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN435_1_1_5.PDF
AN435-1,Advanced Anatomy I,Paper 1 - Written,Winter,1,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AN/2010_2011_AN435_1_1_5.PDF
AN435-1,Advanced Anatomy I,Paper 1 - Written,Winter,1,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AN/2012_2013_AN435_1_1_5.PDF
AN436-1,Advanced Anatomy 2,Paper 1 - Written,Summer,1,2012,2013,
AN436-1,Advanced Anatomy 2,Paper 1 - Written,Summer,1,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AN/2010_2011_AN436_1_1_2.PDF
AN436-1,Advanced Anatomy 2,Paper 1 - Written,Summer,1,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN436_1_1_2.PDF
AN437-1,Advanced Cell Biology and Development,Paper 1 - Written,Summer,1,2014,2015,
AN437-1,Advanced Cell Biology and Development,Paper 1 - Written,Autumn,2,2014,2015,
AN437-1,Advanced Cell Biology and Development,Paper 1 - Written,Summer,1,2013,2014,
AN437-1,Advanced Cell Biology and Development,Paper 1 - Written,Autumn,2,2013,2014,
AN438-1,Advanced Gross Anatomy 1,Paper 1 - Written,Winter,1,2013,2014,
AN438-1,Advanced Gross Anatomy 1,Paper 1 - Written,Autumn,2,2014,2015,
AN438-1,Advanced Gross Anatomy 1,Paper 1 - Written,Winter,1,2014,2015,
AN438-1,Advanced Gross Anatomy 1,Paper 1 - Written,Autumn,2,2013,2014,
AN439-1,Advanced Gross Anatomy 2,Paper 1 - Written,Winter,1,2013,2014,
AN439-1,Advanced Gross Anatomy 2,Paper 1 - Written,Autumn,2,2013,2014,
AN439-1,Advanced Gross Anatomy 2,Paper 1 - Written,Winter,1,2014,2015,
AN439-1,Advanced Gross Anatomy 2,Paper 1 - Written,Autumn,2,2014,2015,
AN441-1,Physical Anthropology,Paper 1 - Written,Summer,1,2014,2015,
AN441-1,Physical Anthropology,Paper 1 - Written,Autumn,2,2014,2015,
AN442-1,Imaging and Analysis,Paper 1 - Written,Winter,1,2013,2014,
AN442-1,Imaging and Analysis,Paper 1 - Written,Autumn,2,2013,2014,
AN442-1,Imaging and Analysis,Paper 1 - Written,Winter,1,2014,2015,
AN442-1,Imaging and Analysis,Paper 1 - Written,Autumn,2,2014,2015,
AN443-CB1,Medical Imaging,Computer Based - Paper 1,Summer,1,2013,2014,
AN443-CB1,Medical Imaging,Computer Based - Paper 1,Autumn,2,2013,2014,
AN445-1,Scientific Writing,Paper 1 - Written,Winter,1,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN445_1_1_5.PDF
AN445-1,Scientific Writing,Paper 1 - Written,Autumn,2,2014,2015,
AN445-1,Scientific Writing,Paper 1 - Written,Winter,1,2014,2015,
AN445-1,Scientific Writing,Paper 1 - Written,Autumn,2,2013,2014,
AN446-1,Tissue Processing,Paper 1 - Written,Autumn,2,2013,2014,
AN446-1,Tissue Processing,Paper 1 - Written,Winter,1,2014,2015,
AN446-1,Tissue Processing,Paper 1 - Written,Winter,1,2013,2014,
AN446-1,Tissue Processing,Paper 1 - Written,Autumn,2,2014,2015,
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Winter,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AR/2009_2010_AR113_1_1_5.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Autumn,2,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AR/2014_2015_AR113_1_2_3.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Autumn,2,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AR/2012_2013_AR113_1_2_3.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Winter,1,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AR/2013_2014_AR113_1_1_5.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Autumn,2,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AR/2007_2008_AR113_1_2_13.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Winter,1,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AR/2014_2015_AR113_1_1_5.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Autumn,2,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AR/2009_2010_AR113_1_2_13.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Winter,1,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AR/2012_2013_AR113_1_1_5.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Autumn,2,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AR/2011_2012_AR113_1_2_13.PDF
AR113-1,Prehistoric Ireland & Europe,Paper 1 - Written,Winter,1,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AR/2010_2011_AR113_1_1_5.PDF
